referree_value,referree_id
100000461861781489323,0
100000486454408208166,1
100000763912458474069,2
100000772955143706758,3
100000907046238530200,4
100001335679005290179,5
100001413119111821256,6
100001460601553769991,7
100001534834308089280,8
100001803773152492458,9
100001826804813287043,10
100001890836869132186,11
100002360555406652987,12
100002375482048779813,13
100002467422536674305,14
100002480836167822634,15
100003009266690562379,16
100003761748305295048,17
100003786341556292886,18
100003832054129544870,19
100003880356367481254,20
100003935752877898323,21
100004045975439624391,22
100004204833549213430,23
100004368791636763680,24
100004581596612508210,25
100004583620711728016,26
100004700684642451010,27
100004792673918205983,28
100004844216051862307,29
100005059224029431023,30
100005071999267331924,31
100005082705576559438,32
100005347907652479899,33
100005623690490692643,34
100005754453910569138,35
100005809427652429587,36
100005855353884251790,37
100006186695750696947,38
100006257685983922163,39
100006289720994713409,40
100006354840484863651,41
100006482087292857938,42
100006990849369661187,43
100007172880123575753,44
100007424942599633028,45
100007521425301894867,46
100007664737888745055,47
100007787736839028587,48
100007793076838098014,49
100008176682616801693,50
100008438047495460302,51
100008519967594500477,52
100008774185148523100,53
100008887632038617744,54
100008925013532140371,55
100009181756619448294,56
100009384899492444293,57
100009401545914416928,58
100010226316651393719,59
100010253647870898251,60
100010273393696339686,61
100010333593843286125,62
100010851797975049374,63
100011383043481370538,64
100011386455690017286,65
100011419152406547264,66
100011445884630172619,67
100011625101964099813,68
100011766545706941920,69
100012290785564082430,70
100012493880826494869,71
100012510848783557262,72
100012760422654006689,73
100013091829863179480,74
100013234150524277237,75
100013398040943792335,76
100013503239814724848,77
100013630049144015760,78
100013687611442258426,79
100013726312732828314,80
100013889854202279688,81
100014376191395984763,82
100014595154057929541,83
100014615625593695292,84
100015426554095473714,85
100015470665318041649,86
100015780237202683214,87
100015878886887680913,88
100016058227516121475,89
100016110681991167616,90
100016169871061517492,91
100016302229597529919,92
100016505129091544830,93
100016805543963204853,94
100016899877318096910,95
100017055036544458653,96
100017072674589849141,97
100017145487156241751,98
100017214844470202813,99
100017594059285578781,100
100017868823678735985,101
100017998903413971440,102
100018055313799456766,103
100018093743167577914,104
100018202590875587832,105
100018456556486501330,106
100018628334836343470,107
100018777189546649016,108
100018939840735779454,109
100019364506073195462,110
100019606796298306820,111
100020229351462421738,112
100020495598014208698,113
100020524381176799430,114
100020543878001218561,115
100020740491974670967,116
100020886483236628612,117
100021025784352405820,118
100021217891156017093,119
100021245919594056085,120
100021250551206310914,121
100021477819646732444,122
100021763037118622684,123
100021898823910407483,124
100022061825496162453,125
100022496429830572747,126
100022837800887181193,127
100022983395666441961,128
100023035624123127819,129
100023188619115984967,130
100023193940802251690,131
100023286556501872799,132
100023539148442726421,133
100023711527176476223,134
100023786738303980611,135
100024071984779702078,136
100024219513440238593,137
100024236017159578785,138
100024307628880698491,139
100024316682214673609,140
100024323694375981483,141
100024432144540362672,142
100024498129425694835,143
100024705953595989126,144
100024986596978918999,145
100025124997381741010,146
100025129639463186297,147
100025452438962857504,148
100025536618853941898,149
100025602183581386122,150
100025784724360092435,151
100026215811948581172,152
100026359533941345659,153
100026539525220251678,154
100026561763608627709,155
100026662779604884590,156
100026762474227742709,157
100026978292580436111,158
100027049101800712263,159
100027172262496272240,160
100027760591732857147,161
100027964160770096547,162
100027976376717707832,163
100028224128452470238,164
100028295288839431314,165
100028416253389683763,166
100028645168960641309,167
100028689656197242050,168
100028694637697940791,169
100028703294001744828,170
100029155361912085718,171
100029528211512931377,172
100029615420017681124,173
100029744451120366896,174
100029842789288502440,175
100029952441889055636,176
100029981045862677935,177
100030031975082459379,178
100030244387961821196,179
100030650615499314669,180
100030656681526620924,181
100030754581686969576,182
100030818129808794084,183
100030871492961093616,184
100030967570283228850,185
100031396199533877100,186
100031414437616577162,187
100031428824291055110,188
100031552142784614995,189
100031729696397627376,190
100031852932201570057,191
100032127508901656724,192
100032150156925946456,193
100032241201582107380,194
100033036401146360485,195
100033128212185836546,196
100034081581427776318,197
100034405135257604605,198
100034436746996513922,199
100034755726546091323,200
100034828195835575280,201
100034852139736181868,202
100034919801161683139,203
100034951622767959078,204
100034984155009000919,205
100035172340453370280,206
100035547964391705274,207
100035762233109552676,208
100035895641954084493,209
100036494993214603362,210
100036647073748508960,211
100036824169113303128,212
100036879967474085228,213
100036901960696808428,214
100036983323956383566,215
100037392101461717365,216
100037428816683405368,217
100038049701535106285,218
100038381983125763075,219
100038413049692507619,220
100038567648880602899,221
100038654959459896101,222
100038874802383337416,223
100039331602368684087,224
100039427667733392486,225
100039544776254393067,226
100039676769980385209,227
100040468000342771560,228
100040550700132989569,229
100040579167442382694,230
100040589098674961475,231
100040621447440961702,232
100040826568042579207,233
100041237708055176318,234
100041278096196429830,235
100041283894955459720,236
100041310890249910599,237
100041313778307876403,238
100042103285281335454,239
100042105400303837117,240
100042505451875975001,241
100042536900900680818,242
100042589426158562346,243
100042872470152404456,244
100043057758270223308,245
100043062101268300007,246
100043329658557882335,247
100043448229060949258,248
100043456183199763501,249
100043539724329079391,250
100043766527406159624,251
100043900361742432351,252
100043968369145338808,253
100043983748387666479,254
100044468771539375623,255
100044548417015476168,256
100044739087430121364,257
100044746684069714197,258
100045891876888742643,259
100045990726747178464,260
100046158839070954736,261
100046317340991306951,262
100046325985741036380,263
100046418043149960713,264
100046451775234566278,265
100046572945117907100,266
100046643346639044026,267
100047272440223007220,268
100047349231974874361,269
100047679106364060087,270
100047975805943126343,271
100048100630151349290,272
100048199937473351728,273
100048284724671718198,274
100048606097725053054,275
100048727709747025165,276
100048767401733509761,277
100049108141850071275,278
100049379238822310674,279
100049432200295243842,280
100049609166508847715,281
100049610769306013609,282
100050077750199499319,283
100050236476169505708,284
100050491816509199629,285
100050813541196148756,286
100050892234233658511,287
100050896133236227130,288
100051691779523403659,289
100051837928894807647,290
100052108766087397374,291
100052159169239387081,292
100052427422906325333,293
100052542427171975713,294
100052640628125336746,295
100052656950590781125,296
100052700728830741402,297
100052957084424440364,298
100053036960042528028,299
100053156799226426073,300
100053702628901038802,301
100054415602988726410,302
100054813223725297473,303
100054852113600187084,304
100054880638827038556,305
100054924316489852931,306
100055172690759548442,307
100055734756157999051,308
100055977132451699420,309
100056579117530576586,310
100056763407347417686,311
100056907852116699262,312
100057069861700562172,313
100057071538809202187,314
100057204553955934527,315
100057564226766888541,316
100057611113248703746,317
100057654106831998891,318
100057775427772782697,319
100057987797430809506,320
100058113673905406883,321
100058236630377671225,322
100058257422535399093,323
100058643455900335524,324
100060230513884381967,325
100060615388827599734,326
100060725676761333310,327
100060736817358360813,328
100060913359950092556,329
100060924616628474785,330
100061319416663890169,331
100061802999835721677,332
100062016706866529160,333
100062444829649549345,334
100062540864597103256,335
100062901021283008305,336
100063246738928262813,337
100063318895469818184,338
100063443579968781948,339
100063536974507534333,340
100063647165166042824,341
100063705580180190526,342
100064113343328939680,343
100064147221397944469,344
100064177866859229476,345
100064180268043841243,346
100064584137466740479,347
100064605510284626413,348
100064982854597082855,349
100065287191898868888,350
100066010057773449541,351
100066209489736226487,352
100066311057827566860,353
100066449683863866421,354
100066493310937980226,355
100066678640681769016,356
100067022989844996205,357
100067033524056131410,358
100067182251745531310,359
100067461925744607579,360
100067485468850704157,361
100067510727908890147,362
100067671155182376868,363
100068145730356623947,364
100069098946637214890,365
100069299760924871364,366
100069411030829210911,367
100069481868964874976,368
100069612367196578998,369
100069988291601456564,370
100070927167992422060,371
100070964811506845024,372
100070987884979800130,373
100071076071828599816,374
100071164040322928821,375
100071277796066627013,376
100071314542033042643,377
100071327124188990642,378
100071403328735908472,379
100071640255400554066,380
100072708863339598007,381
100072970604862086613,382
100073645661563176491,383
100073903656543799421,384
100074036873081360943,385
100074183483499240887,386
100074265007191210617,387
100074919848611839407,388
100075009354696937915,389
100075032280537341039,390
100075160462198738168,391
100075356758919993136,392
100075370731033242204,393
100075398090075047731,394
100075618167711380270,395
100075712147512348173,396
100075838448012576706,397
100075843650686855405,398
100075970498118309976,399
100076393574450381351,400
100076397407959029819,401
100076408521899504571,402
100076454492235629261,403
100076706764589642312,404
100076725065410750530,405
100076743682215958990,406
100076794307075185457,407
100077470889543654034,408
100077604626113003747,409
100078251004769684751,410
100078427680621303810,411
100078790620501399851,412
100078878374475798194,413
100079035579640003577,414
100079056602355279148,415
100079267099322791162,416
100079333586453295895,417
100079371797816943105,418
100079554184621951150,419
100079570422204018364,420
100079811518509001202,421
100080018438906228164,422
100080124053175377635,423
100080134223407663899,424
100080255379331640910,425
100080304497199877337,426
100080326269596375658,427
100080329655589497892,428
100080446399904627536,429
100080523170207498741,430
100080670028138179319,431
100080756090463299303,432
100080968009958384887,433
100081010984768669365,434
100081151464883809257,435
100081342422534336614,436
100081392618141673574,437
100081475894326652762,438
100081555199128787401,439
100081688755411201400,440
100081720862249022892,441
100082296680929174357,442
100082373368279122599,443
100082374427895816436,444
100082933856760526815,445
100083028955154344380,446
100083143219845545526,447
100083271926518964179,448
100083325018063184543,449
100083368149341064904,450
100083448224418184803,451
100083497069154886960,452
100083641808604110271,453
100083679051789724635,454
100083817500868036139,455
100084435888689056971,456
100084613950586200701,457
100084737546039360206,458
100084794854549110631,459
100084811076765146675,460
100084893009690449692,461
100085008180890266330,462
